"STNM"	"STCD"	"BSHNNM"	"HNNM"	"HL"	"DRAR"	"NT"
"陈家湾"	"60108100"	"F"	"F0"	"长江"		
"北闸堤外"	"60108200"	"F"	"F0"	"长江"		
"北闸东(外)"	"60108210"	"F"	"F0"	"长江"		
"北闸东(内)"	"60108220"	"F"	"F0"	"长江"		
"北闸西(外)"	"60108230"	"F"	"F0"	"长江"		
"北闸西(内)"	"60108240"	"F"	"F0"	"长江"		
"腊林洲东(外)"	"60108250"	"F"	"F0"	"长江"		
"腊林洲东(内)"	"60108260"	"F"	"F0"	"长江"		
"腊林洲西(外)"	"60108270"	"F"	"F0"	"长江"		
"腊林洲西(内)"	"60108280"	"F"	"F0"	"长江"		
"马家咀(内)"	"60108330"	"F"	"F0"	"长江"		
"郝穴(二)"	"60108900"	"F"	"F0"	"长江"		
"黄水套（内）"	"60109000"	"F"	"F0"	"长江"		
"新厂(二)"	"60109100"	"F"	"F0"	"长江"		
"无量庵南(外)"	"60109120"	"F"	"F0"	"长江"		
"无量庵南(内)"	"60109130"	"F"	"F0"	"长江"		
"无量庵北(外)"	"60109140"	"F"	"F0"	"长江"		
"无量庵北(内)"	"60109150"	"F"	"F0"	"长江"		
"人民大垸南(外)"	"60109160"	"F"	"F0"	"长江"		
"人民大垸南(内)"	"60109170"	"F"	"F0"	"长江"		
"人民大垸北(外)"	"60109180"	"F"	"F0"	"长江"		
"人民大垸北(内)"	"60109190"	"F"	"F0"	"长江"		
"石首"	"60109400"	"F"	"F0"	"长江"		
"调弦口"	"60110100"	"F"	"F0"	"长江"		
"调弦口东(外)"	"60110200"	"F"	"F0"	"长江"		
"调弦口东(内)"	"60110210"	"F"	"F0"	"长江"		
"调弦口西(外)"	"60110220"	"F"	"F0"	"长江"		
"调弦口西(内)"	"60110230"	"F"	"F0"	"长江"		
"广兴洲"	"60110960"	"F"	"F0"	"长江"		
"莲花塘"	"60111200"	"F"	"F0"	"长江"		
"簰洲镇"	"60111305"	"F"	"F0"	"长江"		
"石矶头"	"60111700"	"F"	"F0"	"长江"		
"金口"	"60112195"	"F"	"F0"	"长江"		
"阳逻"	"60112205"	"F"	"F0"	"长江"		
"黄石港"	"60112900"	"F"	"F0"	"长江"		
"码头镇"	"60113205"	"F"	"F0"	"长江"		
"彭泽"	"60113900"	"F"	"F0"	"长江"		
"安庆"	"60114700"	"F"	"F0"	"长江"		
"营船港"	"60116800"	"F"	"F0"	"长江"		
"白茆"	"60117500"	"F"	"F0"	"长江"		
"杨林"	"60117520"	"F"	"F0"	"长江"		
"崇明洲头"	"60117540"	"F"	"F0"	"长江"		
"共青圩"	"60117560"	"F"	"F0"	"长江"		
"灵甸港（二）"	"60117830"	"F"	"F0"	"长江"		
"连兴港"	"60117840"	"F"	"F0"	"长江"		
"里甲北(内)"	"60151515"	"F"	"FE"	"虎渡河"		
"古学(二)"	"60201760"	"F"	"F0"	"松麦河（许曲）"	"12160"	"1、冻结基面系假定基面。2、冻结基面在假定基面以上0.000m。"
"横江（二）"	"60406100"	"F"	"F0"	"横江"	"14781"	"1.冻结基面系假定基面。2.冻结基面在“1985国家高程基准”以上-1.247m。"
"木洞河口               "	"60510500"	"F"	"F0"	"木洞河"		
"大洪河口                "	"60511250"	"F"	"F0"	"御临河"		
"龙溪河口                 "	"60511290"	"F"	"F0"	"龙溪河"		
"渠溪河口"	"60511350"	"F"	"F0"	"渠溪河"	"0"	
"乌 洋 树"	"60511610"	"F"	"F0"	"龙河"	"0"	
"安宁"	"60512500"	"F"	"F0"	"龙河"	"0"	
"人和"	"60512850"	"F"	"F0"	"小江"		
"栖霞"	"60512900"	"F"	"F0"	"汤溪河"		
"新津"	"60513300"	"F"	"F0"	"磨刀溪"		
"梅溪河口㈡"	"60513500"	"F"	"F0"	"梅溪河"		
"宁桥"	"60513800"	"F"	"F0"	"西溪河"	"685"	"1.本站冻结基面系假定基面。2.冻结基面在黄海(59)基面以上+17.486m。"
"巫溪（二）"	"60513820"	"F"	"F0"	"大宁河"	"2001"	"1、冻结基面为吴淞基面。2、冻结基面在“1985国家高程基准”以上-1.712m。"
